# You can find the dataset in the paper titled "NSGAN: A Non-dominated Sorting Optimization-based Generative Adversarial Design Framework for Alloy Discovery." And for your convenience in reviewing, we have pasted the entire contents of the dataset below.
 \,Processing,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Pb,Sc,Si,Sn,Ti,V,Zn,Zr,Elongation (%),Tensile Strength (MPa),Yield Strength (MPa),class
36,Artificial aged,0,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,,,138,7
37,Artificial aged,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,,,196,7
38,Artificial aged,0,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.002,0,0,0,0,0,0,,,194,7
39,Artificial aged,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,,,209,7
40,Solutionised,0.0007,0.9208,0,0,0,0,0,0,0.0637,0,0,0.0057,0,0,0.0001,0.0018,0,0,0,0,0,0.0006,0,0.0066,0,4,225,130,1
41,Solutionised,0,0.916,0,0,0,0,0,0,0.0685,0,0,0.006,0,0,0.0001,0.002,0,0,0,0,0,0.0006,0,0.0068,0,6,240,125,1
42,Solutionised,0.0003,0.9153,0,0,0,0,0,0,0.0678,0,0,0.0062,0,0,0.0001,0.0019,0,0,0,0,0,0.0008,0,0.0076,0,4,230,130,1
43,Solutionised,0.001,0.9151,0,0,0,0,0,0,0.0684,0,0,0.0061,0,0,0.0001,0.0018,0,0,0,0,0,0.0002,0,0.0073,0,3,220,140,1
44,Solutionised  + Artificially peak aged,0,0.9985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,,,150,2
45,Solutionised  + Artificially peak aged,0,0.9975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,,,210,2
46,Solutionised  + Artificially peak aged,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,,,265,2
47,Solutionised  + Artificially peak aged,0,0.9935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,,,200,2
48,Solutionised  + Artificially peak aged,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,,,195,2
49,Solutionised  + Artificially peak aged,0,0.9855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0,0,0,0,0,0,,,190,2
50,Solutionised  + Artificially peak aged,0,0.947,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,,259,147,2
51,Solutionised  + Artificially peak aged,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0.003,0,0,0,0,0,0,,401,368,2
52,Solutionised  + Artificially peak aged,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.01,0,0,0,0,0,0,,525,420,2
53,Solutionised  + Artificially peak aged,0,0.9977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,,208,198,2
54,Solutionised  + Artificially peak aged,0,0.9962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,,264,240,2
55,Solutionised  + Artificially peak aged,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,,111,43,2
56,Solutionised  + Artificially peak aged,0,0.9885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.0015,0,0,0,0,0,0,,221,216,2
57,Solutionised  + Artificially peak aged,0,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.003,0,0,0,0,0,0,,303,288,2
58,Solutionised  + Artificially peak aged,0,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.005,0,0,0,0,0,0,,323,309,2
59,Solutionised  + Artificially peak aged,0,0.9977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,,157,147,2
60,Solutionised  + Artificially peak aged,0,0.9962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,,199,193,2
61,Solutionised  + Artificially peak aged,0,0.9925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,,,265,2
62,Solutionised  + Artificially peak aged,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,,,280,2
